((	Baix_Llobregat	62773	IC	Servicios	0.60	0.11	0.16	0.02	0.07	0.35	0.00	0.00	0.00	0.18	0.23	0.03	p132	p128	p124	))
((	Maresme	8454	CiU	Industria	0.95	0.28	0.00	0.67	0.27	0.18	0.04	0.00	0.12	0.30	0.62	0.06	p129	p128	p124	))
((	Maresme	25882	PSC	Servicios	0.65	0.00	0.00	0.26	0.05	0.14	0.00	0.00	0.02	0.05	0.33	0.05	p129	p128	p124	))
((	Alt_Penedes	337	CiU	Industria	0.00	0.00	0.00	0.00	1.48	0.00	0.00	0.00	0.59	0.30	0.00	0.59	p133	p128	p124	))
((	V_Occidental	343	CiU	Industria	1.75	0.00	0.00	0.58	0.00	0.00	0.00	0.29	0.00	0.00	0.29	0.00	p129	p128	p124	))
((	V_Occidental	29358	PSC	Industria	1.33	0.14	0.16	0.03	0.06	2.00	0.00	0.01	0.95	0.17	0.75	0.21	m11	m12	m12	))
((	V_Oriental	7136	PSC	Industria	2.52	0.67	0.00	0.46	0.14	0.99	0.00	0.00	0.34	0.45	0.64	0.17	p133	p128	p124	))
((	V_Occidental	57030	IC	Industria	1.87	0.00	0.06	0.44	0.12	1.18	0.01	0.04	0.17	0.29	1.06	0.16	p132	p128	p124	))
((	V_Occidental	184859	PSC	Servicios	0.91	0.12	0.05	0.04	0.11	0.74	0.00	0.01	0.10	0.10	0.64	0.03	p129	p128	p124	))
((	Baix_Llobregat	18854	PSC	Industria	3.83	0.00	0.89	0.37	0.08	1.04	0.00	0.01	0.00	0.36	1.07	0.06	p132	r156	z9	))
((	Maresme	6767	PP	Servicios	2.14	0.00	0.00	0.35	0.72	1.39	0.00	0.07	0.33	0.37	1.52	0.18	p121	p128	p124	))
((	Barcelones	32823	PSC	Industria	0.95	0.00	0.00	0.01	0.01	0.53	0.00	0.00	0.33	0.01	0.20	0.01	p133	p128	p124	))
((	Alt_Penedes	284	CiU	Industria	1.06	0.00	0.00	3.87	0.00	0.00	0.00	0.00	0.70	1.41	1.76	0.00	p133	p128	p124	))
((	V_Oriental	3063	CiU	Servicios	2.91	0.00	0.00	1.73	0.72	0.10	0.00	0.07	0.59	0.46	0.98	0.46	p133	p128	p124	))
((	Baix_Llobregat	79050	PSC	Servicios	0.42	0.03	0.00	0.06	0.04	0.76	0.00	0.04	0.05	0.26	0.48	0.02	p129	p128	p124	))
((	Maresme	1625	CiU	Industria	3.45	0.00	0.74	3.26	0.18	0.74	0.06	0.18	1.97	1.23	0.62	0.12	g3	g3	r159	))
((	V_Oriental	12840	PSC	Industria	1.08	0.00	0.00	0.13	0.09	1.04	0.00	0.00	0.12	0.37	0.47	0.30	p133	p128	p124	))
((	Baix_Llobregat	2866	Otros	Industria	0.87	0.00	0.00	0.24	1.19	3.87	0.00	0.00	0.14	1.01	4.15	0.00	p129	p128	p124	))
((	V_Oriental	6034	Otros	Industria	1.82	0.00	0.00	1.92	0.18	0.07	0.05	0.12	0.58	0.46	0.33	0.63	p136	p128	p123	))
((	Maresme	786	PSC	Industria	1.91	0.00	0.00	1.91	1.02	0.64	0.13	0.13	1.02	0.64	1.65	0.00	m11	m12	m12	))
((	Baix_Llobregat	27470	PSC	Servicios	1.50	0.13	0.00	0.28	0.07	2.28	0.00	0.00	0.00	0.16	2.24	0.22	p129	p128	p124	))
((	Baix_Llobregat	13883	PSC	Servicios	0.59	0.15	0.63	0.17	0.17	0.62	0.00	0.00	0.06	0.28	0.55	0.07	p132	r156	z9	))
((	Alt_Penedes	2457	CiU	Servicios	0.45	0.00	0.00	0.45	0.00	0.00	0.04	0.00	0.20	0.00	0.16	0.04	p133	p128	p124	))
((	Maresme	3413	CiU	Servicios	4.75	0.00	0.00	1.03	0.35	1.08	0.00	0.00	0.03	1.00	1.17	0.26	p129	p128	p124	))
((	Alt_Penedes	1632	CiU	Industria	0.61	0.00	0.00	0.67	0.18	0.00	0.00	0.06	0.25	0.49	0.00	0.06	p133	p128	p124	))
((	Alt_Penedes	9387	CiU	Industria	0.81	0.00	0.11	0.25	0.50	2.10	0.00	0.00	0.23	0.53	1.93	0.15	p133	p128	p124	))
